8571296248266073;190;77.0;2;[9, 13]
8571296264058192;240;78.0;3;[1, 7, 12]
8571296281285183;199;79.0;4;[2, 10, 13, 14]
8571296292647892;252;79.0;4;[0, 2, 12, 13]
8571296299445690;233;79.0;4;[3, 4, 6, 13]
8571296374165732;216;77.0;2;[7, 12]
8571296388642903;227;79.0;4;[1, 9, 11, 14]
8571296388856155;234;79.0;4;[0, 9, 12, 13]
8571296396182676;196;77.0;2;[4, 11]
8571296428468061;178;77.0;2;[10, 14]
8571296430328744;255;79.0;4;[0, 4, 8, 11]
8571296438012738;215;78.0;3;[0, 3, 13]
8571296445342929;266;78.0;3;[4, 8, 13]
8571296462287447;248;77.0;2;[0, 2]
8571296470094212;267;79.0;4;[0, 3, 5, 8]
8571296473617717;209;77.0;2;[5, 13]
8571296501799464;214;79.0;4;[1, 6, 9, 10]
8571296521647432;205;79.0;4;[1, 7, 10, 11]
8571296561231219;263;77.0;2;[10, 12]
8571296566037922;231;78.0;3;[0, 11, 12]
8571296583646615;262;78.0;3;[2, 11, 13]
8571296597789514;249;79.0;4;[1, 4, 10, 14]
8571296598375008;242;78.0;3;[1, 8, 14]
8571296623236572;270;77.0;2;[3, 13]
8571296629622317;230;78.0;3;[9, 12, 13]
8571296635875750;211;79.0;4;[5, 7, 9, 11]
8571296645426557;282;78.0;3;[0, 2, 14]
8571296698952001;224;77.0;2;[2, 4]
8571296703628103;193;78.0;3;[4, 9, 13]
8571296725854419;229;79.0;4;[3, 4, 5, 7]
8571296753184990;277;77.0;2;[12, 13]
8571296754138117;278;79.0;4;[1, 2, 10, 13]
8571296759233732;246;79.0;4;[1, 9, 12, 13]
8571296767164957;258;77.0;2;[2, 3]
8571296772657616;257;79.0;4;[2, 5, 8, 14]
8571296778688438;296;77.0;2;[0, 13]
8571296780565381;285;77.0;2;[6, 7]
8571296784107256;220;79.0;4;[6, 7, 8, 12]
8571296790108218;264;79.0;4;[3, 6, 12, 14]
8571296832671645;245;77.0;2;[5, 8]
8571296845770077;254;78.0;3;[5, 9, 13]
8571296896988395;226;77.0;2;[3, 11]
8571296924759059;292;78.0;3;[2, 3, 14]
8571296925631155;244;79.0;4;[3, 6, 8, 12]
8571296934315845;300;78.0;3;[2, 5, 12]
8571296946219238;311;79.0;4;[0, 10, 13, 14]
8571296948707096;293;79.0;4;[0, 6, 7, 14]
8571296974877509;208;77.0;2;[1, 12]
8571296986794652;261;78.0;3;[0, 13, 14]
8571297001590885;260;77.0;2;[3, 13]
8571297012378381;235;79.0;4;[0, 10, 12, 14]
8571297077445755;307;79.0;4;[5, 12, 13, 14]
8571297082954234;288;78.0;3;[2, 6, 11]
8571297090971130;315;78.0;3;[1, 6, 13]
8571297109313118;269;78.0;3;[6, 8, 10]
8571297112463080;259;77.0;2;[8, 11]
8571297117582745;308;77.0;2;[6, 7]
8571297128564843;287;79.0;4;[5, 7, 8, 10]
8571297139307268;326;78.0;3;[2, 9, 11]
8571297152923423;241;78.0;3;[2, 3, 4]
8571297187241102;275;77.0;2;[5, 10]
8571297192074216;276;77.0;2;[8, 12]
8571297198357850;223;79.0;4;[0, 4, 9, 13]
8571297244509962;322;77.0;2;[5, 8]
8571297250843247;256;77.0;2;[5, 6]
8571297251368070;330;78.0;3;[2, 5, 6]
8571297270696865;250;78.0;3;[3, 9, 13]
8571297284139909;323;78.0;3;[0, 9, 14]
8571297284299641;303;77.0;2;[3, 6]
8571297322921660;274;77.0;2;[2, 14]
8571297327732873;302;79.0;4;[2, 6, 7, 8]
8571297341788062;341;78.0;3;[6, 7, 8]
8571297342027084;345;79.0;4;[1, 3, 9, 11]
8571297358162116;271;78.0;3;[8, 9, 13]
8571297360240701;290;78.0;3;[5, 6, 13]
8571297379060682;291;78.0;3;[2, 10, 12]
8571297379239694;309;79.0;4;[3, 9, 10, 11]
8571297390541023;342;77.0;2;[10, 14]
8571297409638406;337;79.0;4;[2, 4, 6, 10]
8571297453422402;318;79.0;4;[1, 2, 4, 6]
8571297460542072;238;77.0;2;[8, 14]
8571297486927886;338;78.0;3;[2, 6, 8]
8571297505500696;356;78.0;3;[0, 2, 7]
8571297509989117;317;79.0;4;[1, 2, 6, 13]
8571297540955564;265;78.0;3;[1, 6, 11]
8571297550283659;360;79.0;4;[2, 3, 8, 14]
8571297565035182;305;77.0;2;[1, 6]
8571297587390728;324;77.0;2;[8, 13]
8571297596343971;306;78.0;3;[1, 7, 11]
8571297607729110;352;79.0;4;[7, 10, 12, 13]
8571297608150223;357;79.0;4;[1, 4, 5, 10]
8571297610322868;286;77.0;2;[3, 6]
8571297635492994;333;78.0;3;[6, 8, 10]
8571297645863906;353;77.0;2;[7, 11]
8571297671066692;371;78.0;3;[6, 7, 10]
8571297686628191;332;78.0;3;[1, 7, 12]
8571297700911701;253;78.0;3;[2, 3, 7]
8571297725297971;375;79.0;4;[2, 4, 5, 9]
8571297727824789;301;78.0;3;[0, 4, 6]
8571297730154815;314;79.0;4;[0, 6, 8, 14]
8571297754196013;320;79.0;4;[3, 6, 8, 10]
